Point,Output,Nominal,Pass/Fail
"Parameters: Vdd_col=500m, BLB_Vdd=-250m",,,
1,Vdd_col,500e-3,
1,BLB_Vdd,-250e-3,
1,Pass,1,
"Parameters: Vdd_col=500m, BLB_Vdd=-237.5m",,,
2,Vdd_col,500e-3,
2,BLB_Vdd,-237.5e-3,
2,Pass,1,
"Parameters: Vdd_col=500m, BLB_Vdd=-225m",,,
3,Vdd_col,500e-3,
3,BLB_Vdd,-225e-3,
3,Pass,1,
"Parameters: Vdd_col=500m, BLB_Vdd=-212.5m",,,
4,Vdd_col,500e-3,
4,BLB_Vdd,-212.5e-3,
4,Pass,1,
"Parameters: Vdd_col=500m, BLB_Vdd=-200m",,,
5,Vdd_col,500e-3,
5,BLB_Vdd,-200e-3,
5,Pass,1,
"Parameters: Vdd_col=500m, BLB_Vdd=-187.5m",,,
6,Vdd_col,500e-3,
6,BLB_Vdd,-187.5e-3,
6,Pass,1,
"Parameters: Vdd_col=500m, BLB_Vdd=-175m",,,
7,Vdd_col,500e-3,
7,BLB_Vdd,-175e-3,
7,Pass,1,
"Parameters: Vdd_col=500m, BLB_Vdd=-162.5m",,,
8,Vdd_col,500e-3,
8,BLB_Vdd,-162.5e-3,
8,Pass,1,
"Parameters: Vdd_col=500m, BLB_Vdd=-150m",,,
9,Vdd_col,500e-3,
9,BLB_Vdd,-150e-3,
9,Pass,1,
"Parameters: Vdd_col=500m, BLB_Vdd=-137.5m",,,
10,Vdd_col,500e-3,
10,BLB_Vdd,-137.5e-3,
10,Pass,1,
"Parameters: Vdd_col=500m, BLB_Vdd=-125m",,,
11,Vdd_col,500e-3,
11,BLB_Vdd,-125e-3,
11,Pass,1,
"Parameters: Vdd_col=500m, BLB_Vdd=-112.5m",,,
12,Vdd_col,500e-3,
12,BLB_Vdd,-112.5e-3,
12,Pass,1,
"Parameters: Vdd_col=500m, BLB_Vdd=-100m",,,
13,Vdd_col,500e-3,
13,BLB_Vdd,-100e-3,
13,Pass,1,
"Parameters: Vdd_col=500m, BLB_Vdd=-87.5m",,,
14,Vdd_col,500e-3,
14,BLB_Vdd,-87.5e-3,
14,Pass,1,
"Parameters: Vdd_col=500m, BLB_Vdd=-75m",,,
15,Vdd_col,500e-3,
15,BLB_Vdd,-75e-3,
15,Pass,1,
"Parameters: Vdd_col=500m, BLB_Vdd=-62.5m",,,
16,Vdd_col,500e-3,
16,BLB_Vdd,-62.5e-3,
16,Pass,1,
"Parameters: Vdd_col=500m, BLB_Vdd=-50m",,,
17,Vdd_col,500e-3,
17,BLB_Vdd,-50e-3,
17,Pass,1,
"Parameters: Vdd_col=500m, BLB_Vdd=-37.5m",,,
18,Vdd_col,500e-3,
18,BLB_Vdd,-37.5e-3,
18,Pass,1,
"Parameters: Vdd_col=500m, BLB_Vdd=-25m",,,
19,Vdd_col,500e-3,
19,BLB_Vdd,-25e-3,
19,Pass,1,
"Parameters: Vdd_col=500m, BLB_Vdd=-12.5m",,,
20,Vdd_col,500e-3,
20,BLB_Vdd,-12.5e-3,
20,Pass,1,
"Parameters: Vdd_col=500m, BLB_Vdd=79.8a",,,
21,Vdd_col,500e-3,
21,BLB_Vdd,79.8e-18,
21,Pass,0,
"Parameters: Vdd_col=525m, BLB_Vdd=-250m",,,
22,Vdd_col,525e-3,
22,BLB_Vdd,-250e-3,
22,Pass,1,
"Parameters: Vdd_col=525m, BLB_Vdd=-237.5m",,,
23,Vdd_col,525e-3,
23,BLB_Vdd,-237.5e-3,
23,Pass,1,
"Parameters: Vdd_col=525m, BLB_Vdd=-225m",,,
24,Vdd_col,525e-3,
24,BLB_Vdd,-225e-3,
24,Pass,1,
"Parameters: Vdd_col=525m, BLB_Vdd=-212.5m",,,
25,Vdd_col,525e-3,
25,BLB_Vdd,-212.5e-3,
25,Pass,1,
"Parameters: Vdd_col=525m, BLB_Vdd=-200m",,,
26,Vdd_col,525e-3,
26,BLB_Vdd,-200e-3,
26,Pass,1,
"Parameters: Vdd_col=525m, BLB_Vdd=-187.5m",,,
27,Vdd_col,525e-3,
27,BLB_Vdd,-187.5e-3,
27,Pass,1,
"Parameters: Vdd_col=525m, BLB_Vdd=-175m",,,
28,Vdd_col,525e-3,
28,BLB_Vdd,-175e-3,
28,Pass,1,
"Parameters: Vdd_col=525m, BLB_Vdd=-162.5m",,,
29,Vdd_col,525e-3,
29,BLB_Vdd,-162.5e-3,
29,Pass,1,
"Parameters: Vdd_col=525m, BLB_Vdd=-150m",,,
30,Vdd_col,525e-3,
30,BLB_Vdd,-150e-3,
30,Pass,1,
"Parameters: Vdd_col=525m, BLB_Vdd=-137.5m",,,
31,Vdd_col,525e-3,
31,BLB_Vdd,-137.5e-3,
31,Pass,1,
"Parameters: Vdd_col=525m, BLB_Vdd=-125m",,,
32,Vdd_col,525e-3,
32,BLB_Vdd,-125e-3,
32,Pass,1,
"Parameters: Vdd_col=525m, BLB_Vdd=-112.5m",,,
33,Vdd_col,525e-3,
33,BLB_Vdd,-112.5e-3,
33,Pass,1,
"Parameters: Vdd_col=525m, BLB_Vdd=-100m",,,
34,Vdd_col,525e-3,
34,BLB_Vdd,-100e-3,
34,Pass,1,
"Parameters: Vdd_col=525m, BLB_Vdd=-87.5m",,,
35,Vdd_col,525e-3,
35,BLB_Vdd,-87.5e-3,
35,Pass,1,
"Parameters: Vdd_col=525m, BLB_Vdd=-75m",,,
36,Vdd_col,525e-3,
36,BLB_Vdd,-75e-3,
36,Pass,1,
"Parameters: Vdd_col=525m, BLB_Vdd=-62.5m",,,
37,Vdd_col,525e-3,
37,BLB_Vdd,-62.5e-3,
37,Pass,1,
"Parameters: Vdd_col=525m, BLB_Vdd=-50m",,,
38,Vdd_col,525e-3,
38,BLB_Vdd,-50e-3,
38,Pass,1,
"Parameters: Vdd_col=525m, BLB_Vdd=-37.5m",,,
39,Vdd_col,525e-3,
39,BLB_Vdd,-37.5e-3,
39,Pass,1,
"Parameters: Vdd_col=525m, BLB_Vdd=-25m",,,
40,Vdd_col,525e-3,
40,BLB_Vdd,-25e-3,
40,Pass,1,
"Parameters: Vdd_col=525m, BLB_Vdd=-12.5m",,,
41,Vdd_col,525e-3,
41,BLB_Vdd,-12.5e-3,
41,Pass,1,
"Parameters: Vdd_col=525m, BLB_Vdd=79.8a",,,
42,Vdd_col,525e-3,
42,BLB_Vdd,79.8e-18,
42,Pass,1,
"Parameters: Vdd_col=550m, BLB_Vdd=-250m",,,
43,Vdd_col,550e-3,
43,BLB_Vdd,-250e-3,
43,Pass,1,
"Parameters: Vdd_col=550m, BLB_Vdd=-237.5m",,,
44,Vdd_col,550e-3,
44,BLB_Vdd,-237.5e-3,
44,Pass,1,
"Parameters: Vdd_col=550m, BLB_Vdd=-225m",,,
45,Vdd_col,550e-3,
45,BLB_Vdd,-225e-3,
45,Pass,1,
"Parameters: Vdd_col=550m, BLB_Vdd=-212.5m",,,
46,Vdd_col,550e-3,
46,BLB_Vdd,-212.5e-3,
46,Pass,1,
"Parameters: Vdd_col=550m, BLB_Vdd=-200m",,,
47,Vdd_col,550e-3,
47,BLB_Vdd,-200e-3,
47,Pass,1,
"Parameters: Vdd_col=550m, BLB_Vdd=-187.5m",,,
48,Vdd_col,550e-3,
48,BLB_Vdd,-187.5e-3,
48,Pass,1,
"Parameters: Vdd_col=550m, BLB_Vdd=-175m",,,
49,Vdd_col,550e-3,
49,BLB_Vdd,-175e-3,
49,Pass,1,
"Parameters: Vdd_col=550m, BLB_Vdd=-162.5m",,,
50,Vdd_col,550e-3,
50,BLB_Vdd,-162.5e-3,
50,Pass,1,
"Parameters: Vdd_col=550m, BLB_Vdd=-150m",,,
51,Vdd_col,550e-3,
51,BLB_Vdd,-150e-3,
51,Pass,1,
"Parameters: Vdd_col=550m, BLB_Vdd=-137.5m",,,
52,Vdd_col,550e-3,
52,BLB_Vdd,-137.5e-3,
52,Pass,1,
"Parameters: Vdd_col=550m, BLB_Vdd=-125m",,,
53,Vdd_col,550e-3,
53,BLB_Vdd,-125e-3,
53,Pass,1,
"Parameters: Vdd_col=550m, BLB_Vdd=-112.5m",,,
54,Vdd_col,550e-3,
54,BLB_Vdd,-112.5e-3,
54,Pass,1,
"Parameters: Vdd_col=550m, BLB_Vdd=-100m",,,
55,Vdd_col,550e-3,
55,BLB_Vdd,-100e-3,
55,Pass,1,
"Parameters: Vdd_col=550m, BLB_Vdd=-87.5m",,,
56,Vdd_col,550e-3,
56,BLB_Vdd,-87.5e-3,
56,Pass,1,
"Parameters: Vdd_col=550m, BLB_Vdd=-75m",,,
57,Vdd_col,550e-3,
57,BLB_Vdd,-75e-3,
57,Pass,1,
"Parameters: Vdd_col=550m, BLB_Vdd=-62.5m",,,
58,Vdd_col,550e-3,
58,BLB_Vdd,-62.5e-3,
58,Pass,1,
"Parameters: Vdd_col=550m, BLB_Vdd=-50m",,,
59,Vdd_col,550e-3,
59,BLB_Vdd,-50e-3,
59,Pass,1,
"Parameters: Vdd_col=550m, BLB_Vdd=-37.5m",,,
60,Vdd_col,550e-3,
60,BLB_Vdd,-37.5e-3,
60,Pass,1,
"Parameters: Vdd_col=550m, BLB_Vdd=-25m",,,
61,Vdd_col,550e-3,
61,BLB_Vdd,-25e-3,
61,Pass,1,
"Parameters: Vdd_col=550m, BLB_Vdd=-12.5m",,,
62,Vdd_col,550e-3,
62,BLB_Vdd,-12.5e-3,
62,Pass,1,
"Parameters: Vdd_col=550m, BLB_Vdd=79.8a",,,
63,Vdd_col,550e-3,
63,BLB_Vdd,79.8e-18,
63,Pass,1,
"Parameters: Vdd_col=575m, BLB_Vdd=-250m",,,
64,Vdd_col,575e-3,
64,BLB_Vdd,-250e-3,
64,Pass,1,
"Parameters: Vdd_col=575m, BLB_Vdd=-237.5m",,,
65,Vdd_col,575e-3,
65,BLB_Vdd,-237.5e-3,
65,Pass,1,
"Parameters: Vdd_col=575m, BLB_Vdd=-225m",,,
66,Vdd_col,575e-3,
66,BLB_Vdd,-225e-3,
66,Pass,1,
"Parameters: Vdd_col=575m, BLB_Vdd=-212.5m",,,
67,Vdd_col,575e-3,
67,BLB_Vdd,-212.5e-3,
67,Pass,1,
"Parameters: Vdd_col=575m, BLB_Vdd=-200m",,,
68,Vdd_col,575e-3,
68,BLB_Vdd,-200e-3,
68,Pass,1,
"Parameters: Vdd_col=575m, BLB_Vdd=-187.5m",,,
69,Vdd_col,575e-3,
69,BLB_Vdd,-187.5e-3,
69,Pass,1,
"Parameters: Vdd_col=575m, BLB_Vdd=-175m",,,
70,Vdd_col,575e-3,
70,BLB_Vdd,-175e-3,
70,Pass,1,
"Parameters: Vdd_col=575m, BLB_Vdd=-162.5m",,,
71,Vdd_col,575e-3,
71,BLB_Vdd,-162.5e-3,
71,Pass,1,
"Parameters: Vdd_col=575m, BLB_Vdd=-150m",,,
72,Vdd_col,575e-3,
72,BLB_Vdd,-150e-3,
72,Pass,1,
"Parameters: Vdd_col=575m, BLB_Vdd=-137.5m",,,
73,Vdd_col,575e-3,
73,BLB_Vdd,-137.5e-3,
73,Pass,1,
"Parameters: Vdd_col=575m, BLB_Vdd=-125m",,,
74,Vdd_col,575e-3,
74,BLB_Vdd,-125e-3,
74,Pass,1,
"Parameters: Vdd_col=575m, BLB_Vdd=-112.5m",,,
75,Vdd_col,575e-3,
75,BLB_Vdd,-112.5e-3,
75,Pass,1,
"Parameters: Vdd_col=575m, BLB_Vdd=-100m",,,
76,Vdd_col,575e-3,
76,BLB_Vdd,-100e-3,
76,Pass,1,
"Parameters: Vdd_col=575m, BLB_Vdd=-87.5m",,,
77,Vdd_col,575e-3,
77,BLB_Vdd,-87.5e-3,
77,Pass,1,
"Parameters: Vdd_col=575m, BLB_Vdd=-75m",,,
78,Vdd_col,575e-3,
78,BLB_Vdd,-75e-3,
78,Pass,1,
"Parameters: Vdd_col=575m, BLB_Vdd=-62.5m",,,
79,Vdd_col,575e-3,
79,BLB_Vdd,-62.5e-3,
79,Pass,1,
"Parameters: Vdd_col=575m, BLB_Vdd=-50m",,,
80,Vdd_col,575e-3,
80,BLB_Vdd,-50e-3,
80,Pass,1,
"Parameters: Vdd_col=575m, BLB_Vdd=-37.5m",,,
81,Vdd_col,575e-3,
81,BLB_Vdd,-37.5e-3,
81,Pass,1,
"Parameters: Vdd_col=575m, BLB_Vdd=-25m",,,
82,Vdd_col,575e-3,
82,BLB_Vdd,-25e-3,
82,Pass,1,
"Parameters: Vdd_col=575m, BLB_Vdd=-12.5m",,,
83,Vdd_col,575e-3,
83,BLB_Vdd,-12.5e-3,
83,Pass,1,
"Parameters: Vdd_col=575m, BLB_Vdd=79.8a",,,
84,Vdd_col,575e-3,
84,BLB_Vdd,79.8e-18,
84,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-250m",,,
85,Vdd_col,600e-3,
85,BLB_Vdd,-250e-3,
85,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-237.5m",,,
86,Vdd_col,600e-3,
86,BLB_Vdd,-237.5e-3,
86,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-225m",,,
87,Vdd_col,600e-3,
87,BLB_Vdd,-225e-3,
87,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-212.5m",,,
88,Vdd_col,600e-3,
88,BLB_Vdd,-212.5e-3,
88,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-200m",,,
89,Vdd_col,600e-3,
89,BLB_Vdd,-200e-3,
89,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-187.5m",,,
90,Vdd_col,600e-3,
90,BLB_Vdd,-187.5e-3,
90,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-175m",,,
91,Vdd_col,600e-3,
91,BLB_Vdd,-175e-3,
91,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-162.5m",,,
92,Vdd_col,600e-3,
92,BLB_Vdd,-162.5e-3,
92,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-150m",,,
93,Vdd_col,600e-3,
93,BLB_Vdd,-150e-3,
93,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-137.5m",,,
94,Vdd_col,600e-3,
94,BLB_Vdd,-137.5e-3,
94,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-125m",,,
95,Vdd_col,600e-3,
95,BLB_Vdd,-125e-3,
95,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-112.5m",,,
96,Vdd_col,600e-3,
96,BLB_Vdd,-112.5e-3,
96,Pass,1,
