Point,Output,Nominal,Pass/Fail
"Parameters: PW=1p, BLB_Vdd=-250m",,,
1,BLB_Vdd,-250e-3,
1,PW,1e-12,
1,Pass,0,
"Parameters: PW=1p, BLB_Vdd=-237.5m",,,
2,BLB_Vdd,-237.5e-3,
2,PW,1e-12,
2,Pass,0,
"Parameters: PW=1p, BLB_Vdd=-225m",,,
3,BLB_Vdd,-225e-3,
3,PW,1e-12,
3,Pass,0,
"Parameters: PW=1p, BLB_Vdd=-212.5m",,,
4,BLB_Vdd,-212.5e-3,
4,PW,1e-12,
4,Pass,0,
"Parameters: PW=1p, BLB_Vdd=-200m",,,
5,BLB_Vdd,-200e-3,
5,PW,1e-12,
5,Pass,0,
"Parameters: PW=1p, BLB_Vdd=-187.5m",,,
6,BLB_Vdd,-187.5e-3,
6,PW,1e-12,
6,Pass,0,
"Parameters: PW=1p, BLB_Vdd=-175m",,,
7,BLB_Vdd,-175e-3,
7,PW,1e-12,
7,Pass,0,
"Parameters: PW=1p, BLB_Vdd=-162.5m",,,
8,BLB_Vdd,-162.5e-3,
8,PW,1e-12,
8,Pass,0,
"Parameters: PW=1p, BLB_Vdd=-150m",,,
9,BLB_Vdd,-150e-3,
9,PW,1e-12,
9,Pass,0,
"Parameters: PW=1p, BLB_Vdd=-137.5m",,,
10,BLB_Vdd,-137.5e-3,
10,PW,1e-12,
10,Pass,0,
"Parameters: PW=1p, BLB_Vdd=-125m",,,
11,BLB_Vdd,-125e-3,
11,PW,1e-12,
11,Pass,0,
"Parameters: PW=1p, BLB_Vdd=-112.5m",,,
12,BLB_Vdd,-112.5e-3,
12,PW,1e-12,
12,Pass,0,
"Parameters: PW=1p, BLB_Vdd=-100m",,,
13,BLB_Vdd,-100e-3,
13,PW,1e-12,
13,Pass,0,
"Parameters: PW=1p, BLB_Vdd=-87.5m",,,
14,BLB_Vdd,-87.5e-3,
14,PW,1e-12,
14,Pass,0,
"Parameters: PW=1p, BLB_Vdd=-75m",,,
15,BLB_Vdd,-75e-3,
15,PW,1e-12,
15,Pass,0,
"Parameters: PW=1p, BLB_Vdd=-62.5m",,,
16,BLB_Vdd,-62.5e-3,
16,PW,1e-12,
16,Pass,0,
"Parameters: PW=1p, BLB_Vdd=-50m",,,
17,BLB_Vdd,-50e-3,
17,PW,1e-12,
17,Pass,0,
"Parameters: PW=1p, BLB_Vdd=-37.5m",,,
18,BLB_Vdd,-37.5e-3,
18,PW,1e-12,
18,Pass,0,
"Parameters: PW=1p, BLB_Vdd=-25m",,,
19,BLB_Vdd,-25e-3,
19,PW,1e-12,
19,Pass,0,
"Parameters: PW=1p, BLB_Vdd=-12.5m",,,
20,BLB_Vdd,-12.5e-3,
20,PW,1e-12,
20,Pass,0,
"Parameters: PW=1p, BLB_Vdd=79.8a",,,
21,BLB_Vdd,79.8e-18,
21,PW,1e-12,
21,Pass,0,
"Parameters: PW=2p, BLB_Vdd=-250m",,,
22,BLB_Vdd,-250e-3,
22,PW,2e-12,
22,Pass,0,
"Parameters: PW=2p, BLB_Vdd=-237.5m",,,
23,BLB_Vdd,-237.5e-3,
23,PW,2e-12,
23,Pass,0,
"Parameters: PW=2p, BLB_Vdd=-225m",,,
