Xidx,Yidx,Vdd,BLB_Vdd,Pass
1,1,0.5,-0.25,1
2,1,0.525,-0.25,1
3,1,0.55,-0.25,1
4,1,0.575,-0.25,1
5,1,0.6,-0.25,1
6,1,0.625,-0.25,1
7,1,0.65,-0.25,1
8,1,0.675,-0.25,1
9,1,0.7,-0.25,1
10,1,0.725,-0.25,1
11,1,0.75,-0.25,1
12,1,0.775,-0.25,1
13,1,0.8,-0.25,1
14,1,0.825,-0.25,1
15,1,0.85,-0.25,1
16,1,0.875,-0.25,1
17,1,0.9,-0.25,1
18,1,0.925,-0.25,1
19,1,0.95,-0.25,1
20,1,0.975,-0.25,1
21,1,1.0,-0.25,1
1,2,0.5,-0.2375,1
2,2,0.525,-0.2375,1
3,2,0.55,-0.2375,1
4,2,0.575,-0.2375,1
5,2,0.6,-0.2375,1
6,2,0.625,-0.2375,1
7,2,0.65,-0.2375,1
8,2,0.675,-0.2375,1
9,2,0.7,-0.2375,1
10,2,0.725,-0.2375,1
11,2,0.75,-0.2375,1
12,2,0.775,-0.2375,1
13,2,0.8,-0.2375,1
14,2,0.825,-0.2375,1
15,2,0.85,-0.2375,1
16,2,0.875,-0.2375,1
17,2,0.9,-0.2375,1
18,2,0.925,-0.2375,1
19,2,0.95,-0.2375,1
20,2,0.975,-0.2375,1
21,2,1.0,-0.2375,1
1,3,0.5,-0.225,1
2,3,0.525,-0.225,1
3,3,0.55,-0.225,1
4,3,0.575,-0.225,1
5,3,0.6,-0.225,1
6,3,0.625,-0.225,1
7,3,0.65,-0.225,1
8,3,0.675,-0.225,1
9,3,0.7,-0.225,1
10,3,0.725,-0.225,1
11,3,0.75,-0.225,1
12,3,0.775,-0.225,1
13,3,0.8,-0.225,1
14,3,0.825,-0.225,1
15,3,0.85,-0.225,1
16,3,0.875,-0.225,1
17,3,0.9,-0.225,1
18,3,0.925,-0.225,1
19,3,0.95,-0.225,1
20,3,0.975,-0.225,1
21,3,1.0,-0.225,1
1,4,0.5,-0.2125,1
2,4,0.525,-0.2125,1
3,4,0.55,-0.2125,1
4,4,0.575,-0.2125,1
5,4,0.6,-0.2125,1
6,4,0.625,-0.2125,1
7,4,0.65,-0.2125,1
8,4,0.675,-0.2125,1
9,4,0.7,-0.2125,1
10,4,0.725,-0.2125,1
11,4,0.75,-0.2125,1
12,4,0.775,-0.2125,1
13,4,0.8,-0.2125,1
14,4,0.825,-0.2125,1
15,4,0.85,-0.2125,1
16,4,0.875,-0.2125,1
17,4,0.9,-0.2125,1
18,4,0.925,-0.2125,1
19,4,0.95,-0.2125,1
20,4,0.975,-0.2125,1
21,4,1.0,-0.2125,1
1,5,0.5,-0.2,1
2,5,0.525,-0.2,1
3,5,0.55,-0.2,1
4,5,0.575,-0.2,1
5,5,0.6,-0.2,1
6,5,0.625,-0.2,1
7,5,0.65,-0.2,1
8,5,0.675,-0.2,1
9,5,0.7,-0.2,1
10,5,0.725,-0.2,1
11,5,0.75,-0.2,1
12,5,0.775,-0.2,1
13,5,0.8,-0.2,1
14,5,0.825,-0.2,1
15,5,0.85,-0.2,1
16,5,0.875,-0.2,1
17,5,0.9,-0.2,1
18,5,0.925,-0.2,1
19,5,0.95,-0.2,1
20,5,0.975,-0.2,1
21,5,1.0,-0.2,1
1,6,0.5,-0.1875,1
2,6,0.525,-0.1875,1
