Xidx,Yidx,PW,Vdd,Pass
1,1,1.0,0.5,0
2,1,2.0,0.5,0
3,1,3.0,0.5,0
4,1,4.0,0.5,0
5,1,5.0,0.5,1
6,1,6.0,0.5,1
7,1,7.0,0.5,1
8,1,8.0,0.5,1
9,1,9.0,0.5,1
10,1,10.0,0.5,1
11,1,11.0,0.5,1
12,1,12.0,0.5,1
13,1,13.0,0.5,1
14,1,14.0,0.5,1
15,1,15.0,0.5,1
16,1,16.0,0.5,1
17,1,17.0,0.5,1
18,1,18.0,0.5,1
19,1,19.0,0.5,1
20,1,20.0,0.5,1
21,1,21.0,0.5,1
1,2,1.0,0.525,0
2,2,2.0,0.525,0
3,2,3.0,0.525,0
4,2,4.0,0.525,0
5,2,5.0,0.525,1
6,2,6.0,0.525,1
7,2,7.0,0.525,1
8,2,8.0,0.525,1
9,2,9.0,0.525,1
10,2,10.0,0.525,1
11,2,11.0,0.525,1
12,2,12.0,0.525,1
13,2,13.0,0.525,1
14,2,14.0,0.525,1
15,2,15.0,0.525,1
16,2,16.0,0.525,1
17,2,17.0,0.525,1
18,2,18.0,0.525,1
19,2,19.0,0.525,1
20,2,20.0,0.525,1
21,2,21.0,0.525,1
1,3,1.0,0.55,0
2,3,2.0,0.55,0
3,3,3.0,0.55,0
4,3,4.0,0.55,0
5,3,5.0,0.55,1
6,3,6.0,0.55,1
7,3,7.0,0.55,1
8,3,8.0,0.55,1
9,3,9.0,0.55,1
10,3,10.0,0.55,1
11,3,11.0,0.55,1
12,3,12.0,0.55,1
13,3,13.0,0.55,1
14,3,14.0,0.55,1
15,3,15.0,0.55,1
16,3,16.0,0.55,1
17,3,17.0,0.55,1
18,3,18.0,0.55,1
19,3,19.0,0.55,1
20,3,20.0,0.55,1
21,3,21.0,0.55,1
1,4,1.0,0.575,0
2,4,2.0,0.575,0
3,4,3.0,0.575,0
4,4,4.0,0.575,0
5,4,5.0,0.575,1
6,4,6.0,0.575,1
7,4,7.0,0.575,1
8,4,8.0,0.575,1
9,4,9.0,0.575,1
10,4,10.0,0.575,1
11,4,11.0,0.575,1
12,4,12.0,0.575,1
13,4,13.0,0.575,1
14,4,14.0,0.575,1
15,4,15.0,0.575,1
16,4,16.0,0.575,1
17,4,17.0,0.575,1
18,4,18.0,0.575,1
19,4,19.0,0.575,1
20,4,20.0,0.575,1
21,4,21.0,0.575,1
1,5,1.0,0.6,0
2,5,2.0,0.6,0
3,5,3.0,0.6,0
4,5,4.0,0.6,0
5,5,5.0,0.6,1
6,5,6.0,0.6,1
7,5,7.0,0.6,1
8,5,8.0,0.6,1
9,5,9.0,0.6,1
10,5,10.0,0.6,1
11,5,11.0,0.6,1
12,5,12.0,0.6,1
13,5,13.0,0.6,1
14,5,14.0,0.6,1
15,5,15.0,0.6,1
16,5,16.0,0.6,1
17,5,17.0,0.6,1
18,5,18.0,0.6,1
19,5,19.0,0.6,1
20,5,20.0,0.6,1
21,5,21.0,0.6,1
1,6,1.0,0.625,0
2,6,2.0,0.625,0
3,6,3.0,0.625,0
4,6,4.0,0.625,0
5,6,5.0,0.625,1
6,6,6.0,0.625,1
7,6,7.0,0.625,1
8,6,8.0,0.625,1
9,6,9.0,0.625,1
10,6,10.0,0.625,1
11,6,11.0,0.625,1
12,6,12.0,0.625,1
13,6,13.0,0.625,1
14,6,14.0,0.625,1
15,6,15.0,0.625,1
16,6,16.0,0.625,1
17,6,17.0,0.625,1
18,6,18.0,0.625,1
19,6,19.0,0.625,1
20,6,20.0,0.625,1
21,6,21.0,0.625,1
1,7,1.0,0.65,0
2,7,2.0,0.65,0
3,7,3.0,0.65,0
4,7,4.0,0.65,0
5,7,5.0,0.65,1
6,7,6.0,0.65,1
7,7,7.0,0.65,1
8,7,8.0,0.65,1
9,7,9.0,0.65,1
10,7,10.0,0.65,1
11,7,11.0,0.65,1
12,7,12.0,0.65,1
13,7,13.0,0.65,1
14,7,14.0,0.65,1
15,7,15.0,0.65,1
16,7,16.0,0.65,1
17,7,17.0,0.65,1
18,7,18.0,0.65,1
19,7,19.0,0.65,1
20,7,20.0,0.65,1
21,7,21.0,0.65,1
1,8,1.0,0.675,0
2,8,2.0,0.675,0
3,8,3.0,0.675,0
4,8,4.0,0.675,0
5,8,5.0,0.675,0
6,8,6.0,0.675,1
7,8,7.0,0.675,1
8,8,8.0,0.675,1
9,8,9.0,0.675,1
10,8,10.0,0.675,1
11,8,11.0,0.675,1
12,8,12.0,0.675,1
13,8,13.0,0.675,1
14,8,14.0,0.675,1
15,8,15.0,0.675,1
16,8,16.0,0.675,1
17,8,17.0,0.675,1
18,8,18.0,0.675,1
19,8,19.0,0.675,1
20,8,20.0,0.675,1
21,8,21.0,0.675,1
1,9,1.0,0.7,0
2,9,2.0,0.7,0
3,9,3.0,0.7,0
4,9,4.0,0.7,0
5,9,5.0,0.7,0
6,9,6.0,0.7,1
7,9,7.0,0.7,1
8,9,8.0,0.7,1
9,9,9.0,0.7,1
10,9,10.0,0.7,1
11,9,11.0,0.7,1
12,9,12.0,0.7,1
13,9,13.0,0.7,1
14,9,14.0,0.7,1
15,9,15.0,0.7,1
16,9,16.0,0.7,1
17,9,17.0,0.7,1
18,9,18.0,0.7,1
19,9,19.0,0.7,1
20,9,20.0,0.7,1
21,9,21.0,0.7,1
1,10,1.0,0.725,0
2,10,2.0,0.725,0
3,10,3.0,0.725,0
4,10,4.0,0.725,0
5,10,5.0,0.725,0
6,10,6.0,0.725,1
7,10,7.0,0.725,1
8,10,8.0,0.725,1
9,10,9.0,0.725,1
10,10,10.0,0.725,1
11,10,11.0,0.725,1
12,10,12.0,0.725,1
13,10,13.0,0.725,1
14,10,14.0,0.725,1
15,10,15.0,0.725,1
16,10,16.0,0.725,1
17,10,17.0,0.725,1
18,10,18.0,0.725,1
19,10,19.0,0.725,1
20,10,20.0,0.725,1
21,10,21.0,0.725,1
1,11,1.0,0.75,0
2,11,2.0,0.75,0
3,11,3.0,0.75,0
4,11,4.0,0.75,0
5,11,5.0,0.75,0
6,11,6.0,0.75,0
7,11,7.0,0.75,1
8,11,8.0,0.75,1
9,11,9.0,0.75,1
10,11,10.0,0.75,1
11,11,11.0,0.75,1
12,11,12.0,0.75,1
13,11,13.0,0.75,1
14,11,14.0,0.75,1
15,11,15.0,0.75,1
16,11,16.0,0.75,1
17,11,17.0,0.75,1
18,11,18.0,0.75,1
19,11,19.0,0.75,1
20,11,20.0,0.75,1
21,11,21.0,0.75,1
1,12,1.0,0.775,0
2,12,2.0,0.775,0
3,12,3.0,0.775,0
4,12,4.0,0.775,0
5,12,5.0,0.775,0
6,12,6.0,0.775,0
7,12,7.0,0.775,1
8,12,8.0,0.775,1
9,12,9.0,0.775,1
10,12,10.0,0.775,1
11,12,11.0,0.775,1
12,12,12.0,0.775,1
13,12,13.0,0.775,1
14,12,14.0,0.775,1
15,12,15.0,0.775,1
16,12,16.0,0.775,1
17,12,17.0,0.775,1
18,12,18.0,0.775,1
19,12,19.0,0.775,1
20,12,20.0,0.775,1
21,12,21.0,0.775,1
1,13,1.0,0.8,0
2,13,2.0,0.8,0
3,13,3.0,0.8,0
4,13,4.0,0.8,0
5,13,5.0,0.8,0
6,13,6.0,0.8,0
7,13,7.0,0.8,1
8,13,8.0,0.8,1
9,13,9.0,0.8,1
10,13,10.0,0.8,1
11,13,11.0,0.8,1
12,13,12.0,0.8,1
13,13,13.0,0.8,1
14,13,14.0,0.8,1
15,13,15.0,0.8,1
16,13,16.0,0.8,1
17,13,17.0,0.8,1
18,13,18.0,0.8,1
19,13,19.0,0.8,1
20,13,20.0,0.8,1
21,13,21.0,0.8,1
1,14,1.0,0.825,0
2,14,2.0,0.825,0
3,14,3.0,0.825,0
4,14,4.0,0.825,0
5,14,5.0,0.825,0
6,14,6.0,0.825,0
7,14,7.0,0.825,0
8,14,8.0,0.825,1
9,14,9.0,0.825,1
10,14,10.0,0.825,1
11,14,11.0,0.825,1
12,14,12.0,0.825,1
13,14,13.0,0.825,1
14,14,14.0,0.825,1
15,14,15.0,0.825,1
16,14,16.0,0.825,1
17,14,17.0,0.825,1
18,14,18.0,0.825,1
19,14,19.0,0.825,1
20,14,20.0,0.825,1
21,14,21.0,0.825,1
1,15,1.0,0.85,0
2,15,2.0,0.85,0
3,15,3.0,0.85,0
4,15,4.0,0.85,0
5,15,5.0,0.85,0
6,15,6.0,0.85,0
7,15,7.0,0.85,0
8,15,8.0,0.85,1
9,15,9.0,0.85,1
10,15,10.0,0.85,1
11,15,11.0,0.85,1
12,15,12.0,0.85,1
13,15,13.0,0.85,1
14,15,14.0,0.85,1
