Point,Output,Nominal,Pass/Fail
"Parameters: PW=1p, Vdd_main=950m",,,
1,Vdd_col,950e-3,
1,PW,1e-12,
1,Pass,0,
"Parameters: PW=1p, Vdd_main=955m",,,
2,Vdd_col,955e-3,
2,PW,1e-12,
2,Pass,0,
"Parameters: PW=1p, Vdd_main=960m",,,
3,Vdd_col,960e-3,
3,PW,1e-12,
3,Pass,0,
"Parameters: PW=1p, Vdd_main=965m",,,
4,Vdd_col,965e-3,
4,PW,1e-12,
4,Pass,0,
"Parameters: PW=1p, Vdd_main=970m",,,
5,Vdd_col,970e-3,
5,PW,1e-12,
5,Pass,0,
"Parameters: PW=1p, Vdd_main=975m",,,
6,Vdd_col,975e-3,
6,PW,1e-12,
6,Pass,0,
"Parameters: PW=1p, Vdd_main=980m",,,
7,Vdd_col,980e-3,
7,PW,1e-12,
7,Pass,0,
"Parameters: PW=1p, Vdd_main=985m",,,
8,Vdd_col,985e-3,
8,PW,1e-12,
8,Pass,0,
"Parameters: PW=1p, Vdd_main=990m",,,
9,Vdd_col,990e-3,
9,PW,1e-12,
9,Pass,0,
"Parameters: PW=1p, Vdd_main=995m",,,
10,Vdd_col,995e-3,
10,PW,1e-12,
10,Pass,0,
"Parameters: PW=1p, Vdd_main=1",,,
11,Vdd_col,1,
11,PW,1e-12,
11,Pass,0,
"Parameters: PW=1p, Vdd_main=1.005",,,
12,Vdd_col,1.005,
12,PW,1e-12,
12,Pass,0,
"Parameters: PW=1p, Vdd_main=1.01",,,
13,Vdd_col,1.01,
13,PW,1e-12,
13,Pass,0,
"Parameters: PW=1p, Vdd_main=1.015",,,
14,Vdd_col,1.015,
14,PW,1e-12,
14,Pass,0,
"Parameters: PW=1p, Vdd_main=1.02",,,
15,Vdd_col,1.02,
15,PW,1e-12,
15,Pass,0,
"Parameters: PW=1p, Vdd_main=1.025",,,
16,Vdd_col,1.025,
16,PW,1e-12,
16,Pass,0,
"Parameters: PW=1p, Vdd_main=1.03",,,
17,Vdd_col,1.03,
17,PW,1e-12,
17,Pass,0,
"Parameters: PW=1p, Vdd_main=1.035",,,
18,Vdd_col,1.035,
18,PW,1e-12,
18,Pass,0,
"Parameters: PW=1p, Vdd_main=1.04",,,
19,Vdd_col,1.04,
19,PW,1e-12,
19,Pass,0,
"Parameters: PW=1p, Vdd_main=1.045",,,
20,Vdd_col,1.045,
20,PW,1e-12,
20,Pass,0,
"Parameters: PW=1p, Vdd_main=1.05",,,
21,Vdd_col,1.05,
21,PW,1e-12,
21,Pass,0,
"Parameters: PW=2p, Vdd_main=950m",,,
22,Vdd_col,950e-3,
22,PW,2e-12,
22,Pass,0,
"Parameters: PW=2p, Vdd_main=955m",,,
23,Vdd_col,955e-3,
23,PW,2e-12,
23,Pass,0,
"Parameters: PW=2p, Vdd_main=960m",,,
24,Vdd_col,960e-3,
24,PW,2e-12,
24,Pass,0,
"Parameters: PW=2p, Vdd_main=965m",,,
25,Vdd_col,965e-3,
25,PW,2e-12,
25,Pass,0,
"Parameters: PW=2p, Vdd_main=970m",,,
26,Vdd_col,970e-3,
26,PW,2e-12,
26,Pass,0,
"Parameters: PW=2p, Vdd_main=975m",,,
27,Vdd_col,975e-3,
27,PW,2e-12,
27,Pass,0,
"Parameters: PW=2p, Vdd_main=980m",,,
28,Vdd_col,980e-3,
28,PW,2e-12,
28,Pass,0,
"Parameters: PW=2p, Vdd_main=985m",,,
29,Vdd_col,985e-3,
29,PW,2e-12,
29,Pass,0,
"Parameters: PW=2p, Vdd_main=990m",,,
30,Vdd_col,990e-3,
30,PW,2e-12,
30,Pass,0,
"Parameters: PW=2p, Vdd_main=995m",,,
31,Vdd_col,995e-3,
31,PW,2e-12,
31,Pass,0,
"Parameters: PW=2p, Vdd_main=1",,,
32,Vdd_col,1,
32,PW,2e-12,
32,Pass,0,
"Parameters: PW=2p, Vdd_main=1.005",,,
33,Vdd_col,1.005,
33,PW,2e-12,
33,Pass,0,
"Parameters: PW=2p, Vdd_main=1.01",,,
34,Vdd_col,1.01,
34,PW,2e-12,
34,Pass,0,
"Parameters: PW=2p, Vdd_main=1.015",,,
35,Vdd_col,1.015,
35,PW,2e-12,
35,Pass,0,
"Parameters: PW=2p, Vdd_main=1.02",,,
