Point,Output,Nominal,Pass/Fail
"Parameters: PW=1p, Vdd_col=500m",,,
1,Vdd_col,500e-3,
1,PW,1e-12,
1,Pass,0,
"Parameters: PW=1p, Vdd_col=525m",,,
2,Vdd_col,525e-3,
2,PW,1e-12,
2,Pass,0,
"Parameters: PW=1p, Vdd_col=550m",,,
3,Vdd_col,550e-3,
3,PW,1e-12,
3,Pass,0,
"Parameters: PW=1p, Vdd_col=575m",,,
4,Vdd_col,575e-3,
4,PW,1e-12,
4,Pass,0,
"Parameters: PW=1p, Vdd_col=600m",,,
5,Vdd_col,600e-3,
5,PW,1e-12,
5,Pass,0,
"Parameters: PW=1p, Vdd_col=625m",,,
6,Vdd_col,625e-3,
6,PW,1e-12,
6,Pass,0,
"Parameters: PW=1p, Vdd_col=650m",,,
7,Vdd_col,650e-3,
7,PW,1e-12,
7,Pass,0,
"Parameters: PW=1p, Vdd_col=675m",,,
8,Vdd_col,675e-3,
8,PW,1e-12,
8,Pass,0,
"Parameters: PW=1p, Vdd_col=700m",,,
9,Vdd_col,700e-3,
9,PW,1e-12,
9,Pass,0,
"Parameters: PW=1p, Vdd_col=725m",,,
10,Vdd_col,725e-3,
10,PW,1e-12,
10,Pass,0,
"Parameters: PW=1p, Vdd_col=750m",,,
11,Vdd_col,750e-3,
11,PW,1e-12,
11,Pass,0,
"Parameters: PW=1p, Vdd_col=775m",,,
12,Vdd_col,775e-3,
12,PW,1e-12,
12,Pass,0,
"Parameters: PW=1p, Vdd_col=800m",,,
13,Vdd_col,800e-3,
13,PW,1e-12,
13,Pass,0,
"Parameters: PW=1p, Vdd_col=825m",,,
14,Vdd_col,825e-3,
14,PW,1e-12,
14,Pass,0,
"Parameters: PW=1p, Vdd_col=850m",,,
15,Vdd_col,850e-3,
15,PW,1e-12,
15,Pass,0,
"Parameters: PW=1p, Vdd_col=875m",,,
16,Vdd_col,875e-3,
16,PW,1e-12,
16,Pass,0,
"Parameters: PW=1p, Vdd_col=900m",,,
17,Vdd_col,900e-3,
17,PW,1e-12,
17,Pass,0,
"Parameters: PW=1p, Vdd_col=925m",,,
18,Vdd_col,925e-3,
18,PW,1e-12,
18,Pass,0,
"Parameters: PW=1p, Vdd_col=950m",,,
19,Vdd_col,950e-3,
19,PW,1e-12,
19,Pass,0,
"Parameters: PW=1p, Vdd_col=975m",,,
20,Vdd_col,975e-3,
20,PW,1e-12,
20,Pass,0,
"Parameters: PW=1p, Vdd_col=1",,,
21,Vdd_col,1,
21,PW,1e-12,
21,Pass,0,
"Parameters: PW=2p, Vdd_col=500m",,,
22,Vdd_col,500e-3,
22,PW,2e-12,
22,Pass,0,
"Parameters: PW=2p, Vdd_col=525m",,,
23,Vdd_col,525e-3,
23,PW,2e-12,
23,Pass,0,
"Parameters: PW=2p, Vdd_col=550m",,,
24,Vdd_col,550e-3,
24,PW,2e-12,
24,Pass,0,
"Parameters: PW=2p, Vdd_col=575m",,,
25,Vdd_col,575e-3,
25,PW,2e-12,
25,Pass,0,
"Parameters: PW=2p, Vdd_col=600m",,,
26,Vdd_col,600e-3,
26,PW,2e-12,
26,Pass,0,
"Parameters: PW=2p, Vdd_col=625m",,,
27,Vdd_col,625e-3,
27,PW,2e-12,
27,Pass,0,
"Parameters: PW=2p, Vdd_col=650m",,,
28,Vdd_col,650e-3,
28,PW,2e-12,
28,Pass,0,
"Parameters: PW=2p, Vdd_col=675m",,,
29,Vdd_col,675e-3,
29,PW,2e-12,
29,Pass,0,
"Parameters: PW=2p, Vdd_col=700m",,,
30,Vdd_col,700e-3,
30,PW,2e-12,
30,Pass,0,
"Parameters: PW=2p, Vdd_col=725m",,,
31,Vdd_col,725e-3,
31,PW,2e-12,
31,Pass,0,
"Parameters: PW=2p, Vdd_col=750m",,,
32,Vdd_col,750e-3,
32,PW,2e-12,
32,Pass,0,
"Parameters: PW=2p, Vdd_col=775m",,,
33,Vdd_col,775e-3,
33,PW,2e-12,
33,Pass,0,
"Parameters: PW=2p, Vdd_col=800m",,,
34,Vdd_col,800e-3,
34,PW,2e-12,
34,Pass,0,
"Parameters: PW=2p, Vdd_col=825m",,,
35,Vdd_col,825e-3,
35,PW,2e-12,
35,Pass,0,
"Parameters: PW=2p, Vdd_col=850m",,,
36,Vdd_col,850e-3,
36,PW,2e-12,
36,Pass,0,
"Parameters: PW=2p, Vdd_col=875m",,,
37,Vdd_col,875e-3,
37,PW,2e-12,
37,Pass,0,
"Parameters: PW=2p, Vdd_col=900m",,,
38,Vdd_col,900e-3,
38,PW,2e-12,
38,Pass,0,
"Parameters: PW=2p, Vdd_col=925m",,,
39,Vdd_col,925e-3,
39,PW,2e-12,
39,Pass,0,
"Parameters: PW=2p, Vdd_col=950m",,,
40,Vdd_col,950e-3,
40,PW,2e-12,
40,Pass,0,
"Parameters: PW=2p, Vdd_col=975m",,,
41,Vdd_col,975e-3,
41,PW,2e-12,
41,Pass,0,
"Parameters: PW=2p, Vdd_col=1",,,
42,Vdd_col,1,
42,PW,2e-12,
42,Pass,0,
"Parameters: PW=3p, Vdd_col=500m",,,
43,Vdd_col,500e-3,
43,PW,3e-12,
43,Pass,0,
"Parameters: PW=3p, Vdd_col=525m",,,
44,Vdd_col,525e-3,
44,PW,3e-12,
44,Pass,0,
"Parameters: PW=3p, Vdd_col=550m",,,
45,Vdd_col,550e-3,
45,PW,3e-12,
45,Pass,0,
"Parameters: PW=3p, Vdd_col=575m",,,
46,Vdd_col,575e-3,
46,PW,3e-12,
46,Pass,0,
"Parameters: PW=3p, Vdd_col=600m",,,
47,Vdd_col,600e-3,
47,PW,3e-12,
47,Pass,0,
"Parameters: PW=3p, Vdd_col=625m",,,
48,Vdd_col,625e-3,
48,PW,3e-12,
48,Pass,0,
"Parameters: PW=3p, Vdd_col=650m",,,
49,Vdd_col,650e-3,
49,PW,3e-12,
49,Pass,0,
"Parameters: PW=3p, Vdd_col=675m",,,
50,Vdd_col,675e-3,
50,PW,3e-12,
50,Pass,0,
"Parameters: PW=3p, Vdd_col=700m",,,
51,Vdd_col,700e-3,
51,PW,3e-12,
51,Pass,0,
"Parameters: PW=3p, Vdd_col=725m",,,
52,Vdd_col,725e-3,
52,PW,3e-12,
52,Pass,0,
"Parameters: PW=3p, Vdd_col=750m",,,
53,Vdd_col,750e-3,
53,PW,3e-12,
53,Pass,0,
"Parameters: PW=3p, Vdd_col=775m",,,
54,Vdd_col,775e-3,
54,PW,3e-12,
54,Pass,0,
"Parameters: PW=3p, Vdd_col=800m",,,
55,Vdd_col,800e-3,
55,PW,3e-12,
55,Pass,0,
"Parameters: PW=3p, Vdd_col=825m",,,
56,Vdd_col,825e-3,
56,PW,3e-12,
56,Pass,0,
"Parameters: PW=3p, Vdd_col=850m",,,
57,Vdd_col,850e-3,
57,PW,3e-12,
57,Pass,0,
"Parameters: PW=3p, Vdd_col=875m",,,
58,Vdd_col,875e-3,
58,PW,3e-12,
58,Pass,0,
"Parameters: PW=3p, Vdd_col=900m",,,
59,Vdd_col,900e-3,
59,PW,3e-12,
59,Pass,0,
"Parameters: PW=3p, Vdd_col=925m",,,
60,Vdd_col,925e-3,
60,PW,3e-12,
60,Pass,0,
"Parameters: PW=3p, Vdd_col=950m",,,
61,Vdd_col,950e-3,
61,PW,3e-12,
61,Pass,0,
"Parameters: PW=3p, Vdd_col=975m",,,
62,Vdd_col,975e-3,
62,PW,3e-12,
62,Pass,0,
"Parameters: PW=3p, Vdd_col=1",,,
63,Vdd_col,1,
63,PW,3e-12,
63,Pass,0,
"Parameters: PW=4p, Vdd_col=500m",,,
64,Vdd_col,500e-3,
64,PW,4e-12,
64,Pass,0,
"Parameters: PW=4p, Vdd_col=525m",,,
65,Vdd_col,525e-3,
65,PW,4e-12,
65,Pass,0,
"Parameters: PW=4p, Vdd_col=550m",,,
66,Vdd_col,550e-3,
66,PW,4e-12,
66,Pass,0,
"Parameters: PW=4p, Vdd_col=575m",,,
67,Vdd_col,575e-3,
67,PW,4e-12,
67,Pass,0,
"Parameters: PW=4p, Vdd_col=600m",,,
68,Vdd_col,600e-3,
68,PW,4e-12,
68,Pass,0,
"Parameters: PW=4p, Vdd_col=625m",,,
69,Vdd_col,625e-3,
69,PW,4e-12,
69,Pass,0,
"Parameters: PW=4p, Vdd_col=650m",,,
